escenario,realizacion,bloque,tiempo_h,zona,suministro,inventario_inicio,reposicion_recibida,demanda,consumo_satisfecho,inventario_fin,superavit,deficit
post_intercambio,26,10,60,Z1,agua,0.0,0.0,306.0337242415215,0.0,0.0,0.0,306.0337242415215
post_intercambio,26,10,60,Z1,alimentos,0.0,0.0,88.78742172459879,0.0,0.0,0.0,88.78742172459879
post_intercambio,26,10,60,Z1,medicamentos,0.0,0.0,5.160782564056783,0.0,0.0,0.0,5.160782564056783
post_intercambio,26,10,60,Z2,agua,48986.23699933884,0.0,1644.935339112951,1644.935339112951,47341.301660225894,47341.301660225894,0.0
post_intercambio,26,10,60,Z2,alimentos,12515.177766850029,0.0,605.8394783065316,605.8394783065316,11909.338288543497,11909.338288543497,0.0
post_intercambio,26,10,60,Z2,medicamentos,115.02890403714557,0.0,21.692910927045187,21.692910927045187,93.33599311010038,93.33599311010038,0.0
post_intercambio,26,10,60,Z3,agua,21900.200160474826,0.0,2083.713306690318,2083.713306690318,19816.486853784507,19816.486853784507,0.0
post_intercambio,26,10,60,Z3,alimentos,3576.459476226852,0.0,715.5705823033395,715.5705823033395,2860.8888939235126,2860.8888939235126,0.0
post_intercambio,26,10,60,Z3,medicamentos,0.0,0.0,31.570426167659928,0.0,0.0,0.0,31.570426167659928
post_intercambio,26,10,60,Z4,agua,555505.3203764433,100000.0,1718.116313102314,1718.116313102314,653787.204063341,653787.204063341,0.0
post_intercambio,26,10,60,Z4,alimentos,110406.59154576727,18000.0,409.84170165178534,409.84170165178534,127996.74984411547,127996.74984411547,0.0
post_intercambio,26,10,60,Z4,medicamentos,2973.722209970681,500.0,24.056473985969326,24.056473985969326,3449.665735984712,3449.665735984712,0.0
post_intercambio,26,10,60,Z5,agua,16626.143361761657,0.0,1204.9907533052674,1204.9907533052674,15421.152608456388,15421.152608456388,0.0
post_intercambio,26,10,60,Z5,alimentos,3365.716559331997,0.0,303.09864617209587,303.09864617209587,3062.617913159901,3062.617913159901,0.0
post_intercambio,26,10,60,Z5,medicamentos,0.0,0.0,22.280240293288806,0.0,0.0,0.0,22.280240293288806
post_intercambio,26,11,66,Z1,agua,0.0,0.0,391.3304113118213,0.0,0.0,0.0,391.3304113118213
post_intercambio,26,11,66,Z1,alimentos,0.0,0.0,87.93390805924794,0.0,0.0,0.0,87.93390805924794
post_intercambio,26,11,66,Z1,medicamentos,0.0,0.0,5.098049274666988,0.0,0.0,0.0,5.098049274666988
post_intercambio,26,11,66,Z2,agua,47341.301660225894,0.0,1286.278943873036,1286.278943873036,46055.02271635286,46055.02271635286,0.0
post_intercambio,26,11,66,Z2,alimentos,11909.338288543497,0.0,500.4117240950158,500.4117240950158,11408.92656444848,11408.92656444848,0.0
