bloque,tiempo_h,zona,suministro,inventario_inicio_medio,reposicion_recibida_medio,demanda_medio,demanda_ic95_inferior,demanda_ic95_superior,consumo_satisfecho_medio,inventario_fin_medio,inventario_fin_ic95_inferior,inventario_fin_ic95_superior,deficit_medio,deficit_ic95_inferior,deficit_ic95_superior,superavit_medio
4,24,Z4,medicamentos,1324.1065309156172,400.0,24.692786425127288,24.01868641581164,25.366886434442936,24.692786425127288,1699.4137444904898,1698.251443943257,1700.5760450377225,0.0,0.0,0.0,1699.4137444904898
4,24,Z5,agua,23473.53451181514,0.0,1130.1441375692173,1100.3298720957769,1159.9584030426577,1130.1441375692173,22343.390374245922,22261.732530346515,22425.04821814533,0.0,0.0,0.0,22343.390374245922
4,24,Z5,alimentos,5708.701140272671,0.0,363.6393601045477,352.0219662370051,375.2567539720903,363.6393601045477,5345.061780168122,5317.582703819427,5372.540856516817,0.0,0.0,0.0,5345.061780168122
4,24,Z5,medicamentos,70.5631384893103,0.0,18.849010543057208,18.260496654819494,19.43752443129492,18.849010543057208,51.7141279462531,50.51221340239537,52.91604249011083,0.0,0.0,0.0,51.7141279462531
5,30,Z1,agua,0.0,0.0,295.86736777465575,287.6157399202333,304.1189956290782,0.0,0.0,0.0,0.0,295.86736777465575,287.6157399202333,304.1189956290782,0.0
5,30,Z1,alimentos,0.0,0.0,98.07170797925244,95.05432280633553,101.08909315216934,0.0,0.0,0.0,0.0,98.07170797925244,95.05432280633553,101.08909315216934,0.0
5,30,Z1,medicamentos,0.0,0.0,5.024899429469943,4.876662513972257,5.173136344967628,0.0,0.0,0.0,0.0,5.024899429469943,4.876662513972257,5.173136344967628,0.0
5,30,Z2,agua,56793.86548399608,0.0,1663.4273096019058,1617.1725081630998,1709.6821110407118,1663.4273096019058,55130.438174394185,55006.18216370615,55254.69418508222,0.0,0.0,0.0,55130.438174394185
5,30,Z2,alimentos,15268.560156080179,0.0,555.5274787707874,538.1726305725763,572.8823269689985,555.5274787707874,14713.03267730939,14672.249327482736,14753.816027136043,0.0,0.0,0.0,14713.03267730939
5,30,Z2,medicamentos,244.26689026701533,0.0,27.074859054393684,26.2593713129328,27.89034679585457,27.074859054393684,217.19203121262169,215.22785290882686,219.1562095164165,0.0,0.0,0.0,217.19203121262169
5,30,Z3,agua,31097.64246882566,0.0,1802.0893274282423,1739.778974406217,1864.3996804502676,1802.0893274282423,29295.553141397413,29170.649516032823,29420.456766762003,0.0,0.0,0.0,29295.553141397413
5,30,Z3,alimentos,6500.475154626558,0.0,603.7666771765063,586.0747943266776,621.4585600263349,603.7666771765063,5896.708477450053,5850.58074134278,5942.836213557325,0.0,0.0,0.0,5896.708477450053
5,30,Z3,medicamentos,59.616691330265525,0.0,31.055422519565777,30.07123376916398,32.03961126996757,31.055422519565777,28.561268810699747,26.283812026156827,30.838725595242668,0.0,0.0,0.0,28.561268810699747
5,30,Z4,agua,293956.74779934227,0.0,1517.2744036348877,1471.8068898660174,1562.741917403758,1517.2744036348877,292439.4733957073,292357.3368514128,292521.60994000186,0.0,0.0,0.0,292439.4733957073
5,30,Z4,alimentos,62979.85072770432,0.0,512.2879588021982,495.32261756741286,529.2533000369835,512.2879588021982,62467.5627689021,62436.771625479436,62498.35391232476,0.0,0.0,0.0,62467.5627689021
5,30,Z4,medicamentos,1699.4137444904898,0.0,25.422691819327024,24.635265160374573,26.210118478279476,25.422691819327024,1673.9910526711628,1672.6504281718908,1675.331677170435,0.0,0.0,0.0,1673.9910526711628
