escenario,realizacion,bloque,tiempo_h,zona,suministro,inventario_inicio,reposicion_recibida,demanda,consumo_satisfecho,inventario_fin,superavit,deficit
base_pre_intercambio,0,5,30,Z2,alimentos,13132.686772672103,0.0,1204.1888990135599,1204.1888990135599,11928.497873658544,11928.497873658544,0.0
base_pre_intercambio,0,5,30,Z2,medicamentos,116.09727161357915,0.0,41.95347639575117,41.95347639575117,74.14379521782799,74.14379521782799,0.0
base_pre_intercambio,0,5,30,Z3,agua,30944.77248473896,0.0,1775.2626098377511,1775.2626098377511,29169.50987490121,29169.50987490121,0.0
base_pre_intercambio,0,5,30,Z3,alimentos,6427.0629432358555,0.0,666.4729165034771,666.4729165034771,5760.590026732379,5760.590026732379,0.0
base_pre_intercambio,0,5,30,Z3,medicamentos,62.730913593642335,0.0,29.099289347407865,29.099289347407865,33.631624246234466,33.631624246234466,0.0
base_pre_intercambio,0,5,30,Z4,agua,261171.62229049063,0.0,7377.3109366019735,7377.3109366019735,253794.31135388865,253794.31135388865,0.0
base_pre_intercambio,0,5,30,Z4,alimentos,50259.15020784134,0.0,3656.1787143538695,3656.1787143538695,46602.97149348747,46602.97149348747,0.0
base_pre_intercambio,0,5,30,Z4,medicamentos,1036.8052013816305,0.0,133.64703081316478,133.64703081316478,903.1581705684657,903.1581705684657,0.0
base_pre_intercambio,0,5,30,Z5,agua,21532.891221094433,0.0,1042.7580073545362,1042.7580073545362,20490.133213739897,20490.133213739897,0.0
base_pre_intercambio,0,5,30,Z5,alimentos,5010.839172080976,0.0,509.5748812183418,509.5748812183418,4501.264290862634,4501.264290862634,0.0
base_pre_intercambio,0,5,30,Z5,medicamentos,37.05567838894009,0.0,20.908221046097026,20.908221046097026,16.14745734284306,16.14745734284306,0.0
base_pre_intercambio,0,6,36,Z1,agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,6,36,Z1,alimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,6,36,Z1,medicamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,6,36,Z2,agua,48322.36455001027,0.0,3111.4147497113977,3111.4147497113977,45210.94980029888,45210.94980029888,0.0
base_pre_intercambio,0,6,36,Z2,alimentos,11928.497873658544,0.0,982.9221055254509,982.9221055254509,10945.575768133092,10945.575768133092,0.0
base_pre_intercambio,0,6,36,Z2,medicamentos,74.14379521782799,0.0,58.47040255586207,58.47040255586207,15.673392661965913,15.673392661965913,0.0
base_pre_intercambio,0,6,36,Z3,agua,29169.50987490121,0.0,2149.3189028976867,2149.3189028976867,27020.190972003526,27020.190972003526,0.0
